# reinj  reinj2  l_iter
-1.74662184535 2.67211014652 2
-0.776086200415 0.92558891866 12
-0.974658514648 1.2129551896 8
-1.56914869236 2.27150109218 3
-0.807310137031 0.969095009114 11
-0.952212521427 1.17913623836 9
-0.914299250204 1.12270653755 9
-0.891547934024 1.08937780125 10
-0.77311948891 0.92147284288 12
-0.785509265587 0.938702123173 11
-1.20348191771 1.57969952866 6
-0.851072572441 1.03099769382 10
-1.33585980865 1.81302408852 5
-0.992121897545 1.23942924595 8
-1.95451322118 3.22064041875 1
-0.772726243874 0.920927691919 12
-0.777077866183 0.926966099638 12
-1.09524668926 1.40082012453 7
-1.5224037681 2.17396223636 3
-1.78342279708 2.76220623047 1
-0.809572784569 0.972261100257 11
-1.86091138312 2.96123270502 1
-1.31696642938 1.77855913188 5
-0.776878791069 0.926689579755 12
-1.06770911418 1.35689521925 7
-0.912052266715 1.11939710602 9
0.335402440392 -0.328742691251 22
-0.769057851347 0.915846850605 12
-0.815434584255 0.980479853629 11
-1.40565848161 1.94316428121 4
-1.45360707058 2.0360775919 4
-1.55195807871 2.23530230922 3
-1.14077905064 1.47488921499 6
1.67371088852 -1.36983719587 2
-1.01140833746 1.26900753867 8
-1.69126565157 2.54142111343 2
-1.70302322583 2.56865980775 2
-1.40840677612 1.94841652957 4
-1.36077461979 1.85881465028 4
-0.818695718083 0.985062532872 11
-1.17709068387 1.53520930971 6
-1.93371058388 3.16088409493 1
-0.877104412109 1.06842524701 10
-1.35385775147 1.84605494993 4
-1.31972862196 1.78357679061 5
-0.818582017148 0.984902631647 11
-1.18466469364 1.54796116594 6
-1.56545861254 2.26373008402 3
-0.855700681594 1.03761221196 10
-1.58496745379 2.30507504903 3
-0.874726498665 1.06499090811 10
-1.51226532141 2.15320803869 3
-0.964643013149 1.19788156682 9
-0.991209064878 1.23803927501 8
-1.53008438774 2.18979232436 3
-1.77915964659 2.75166636419 2
-1.01054300213 1.26766792023 8
-1.74429336567 2.66648466821 2
-0.769528651983 0.916498415537 12
-0.803924613921 0.964364267803 11
-1.43004371528 1.99005901134 4
-0.804779243159 0.96555773628 11
-1.51547401058 2.15975906422 3
-1.73308441221 2.63956794206 2
-0.831140059626 1.00261776312 11
-0.815632907855 0.980758335811 11
-1.39178231313 1.91679892202 4
-1.96505502813 3.25134320328 1
-0.860613247851 1.04465038292 10
-0.769468754903 0.916415512679 12
-0.803696539263 0.964045851895 11
-0.928010519575 1.14298613658 9
-0.772833836676 0.921076836163 12
-0.779113777082 0.929795563374 12
-1.48489255751 2.09792563771 3
-1.71038723119 2.58586545195 2
-1.23835036535 1.63943580712 5
-1.29793805137 1.74428294885 5
-1.1262710132 1.45109098501 7
-1.17177779276 1.5263544306 6
-0.809074013309 0.971562873746 11
-1.9020722403 3.07236749016 1
-1.37681756471 1.88865418522 4
-0.831635055163 1.00331828833 11
-0.841907413742 1.0179447269 10
-0.773106541709 0.921454892701 12
-0.785186928066 0.938252561854 11
-0.848447650257 1.02725306875 10
-0.691834697098 0.810939422973 13
-1.39243065712 1.91802508173 4
-1.93967359098 3.17789757208 1
-0.820229189279 0.987219978195 11
-1.07889427308 1.37465858858 7
-1.93249884892 3.15744011028 1
-0.890725177624 1.08817999384 10
-0.769059975316 0.915849789709 12
-0.815364686313 0.980381710804 11
-1.41070747242 1.95278604474 4
-1.28551490523 1.72209203557 5
-1.60393589783 2.34591002741 3
-1.7044296394 2.57193718971 2
-1.37561506039 1.88640564522 4
-0.85251919969 1.03306354484 10
-0.923957401907 1.13697612235 9
-0.8726590899 1.06200849492 10
-1.66107847445 2.47255943391 2
-0.872130011476 1.06124577298 10
-1.6993062554 2.56001801323 2
-1.49868272681 2.12564412234 3
-0.89928632545 1.1006691083 10
-1.44898914761 2.02698238651 4
-1.1471420059 1.4853858404 6
-0.819129544628 0.985672719251 11
-1.14850822643 1.48764435813 6
-0.98450713959 1.22785504128 8
-0.999664821426 1.25100029653 8
-0.994242995985 1.24266167257 8
-0.897737780845 1.09840590252 10
-1.18515541091 1.54878923784 6
-1.54244376891 2.21539172233 3
-1.4028308692 1.93777087872 4
-1.55167844046 2.23471497493 3
-1.14793811071 1.48670168796 6
-1.53309718273 2.19602726181 3
-1.68281941228 2.52195986446 2
-1.93134813605 3.15417370274 1
-0.904261128257 1.10795230671 9
-1.26429152506 1.68459972827 5
-0.863300178284 1.04850738841 10
-0.931101725256 1.14757809277 9
-0.853717788998 1.03477634033 10
-0.819725302813 0.986510878728 11
-1.11033847552 1.4251693736 7
-0.87387724117 1.06376539106 10
-1.5717837508 2.27706434422 3
-0.783985697707 0.936577837727 11
-1.26337457678 1.68299099509 5
-0.788288614717 0.942581387249 11
-1.07531820452 1.36896782995 7
-1.71405924964 2.59449769739 2
-1.15511235171 1.49858742551 6
-1.01467483266 1.27409890293 8
-1.4989685686 2.12622170443 3
-1.16159390973 1.50936845743 6
1.01831591135 -0.905395024386 7
-1.5287411769 2.18701719674 3
-1.82255462778 2.8609403847 1
-0.773527875016 0.922039094025 12
-0.797463243707 0.955357322369 11
-0.770980924357 0.918509233396 12
-0.773847561103 0.922482435732 12
-0.810702277497 0.973842903296 11
-1.77139933179 2.7325033383 2
-1.68229626373 2.52076173654 2
-1.94469600574 3.19225326261 1
-0.78739442349 0.941332750609 11
-1.93559283477 3.16624270588 1
-0.857360789746 1.03998865414 10
-0.798231755158 0.956427102893 11
-1.31246894187 1.7704093018 5
-0.780500488924 0.931724389238 12
-1.91562209844 3.10994286951 1
-1.13291325066 1.46196341038 7
-1.97891757506 3.29209575623 1
-1.23436712956 1.63256461285 5
-0.874045676495 1.06400840753 10
-1.55985441738 2.25194006658 3
-0.957076869378 1.18645718608 9
-0.781290846305 0.932824307255 12
-0.891731742995 1.08964546976 10
-0.775186054573 0.924339410977 12
-0.891393597809 1.08915307186 10
-0.771776812748 0.919611826544 12
-0.769005266787 0.915774085442 12
-0.817178219638 0.982929165227 11
-1.28285956858 1.71737297523 5
-1.71574766566 2.59846629231 2
-1.11954231851 1.44011642872 7
-0.792215585588 0.948064412701 11
-1.58267283074 2.30017852551 3
-0.824793557765 0.993651272156 11
-0.848047840243 1.02668315258 10
0.938495205906 -0.843592452761 8
-1.01528497335 1.27503782797 8
-1.46454277214 2.05754473501 3
-0.831772539717 1.00351288898 11
-0.849256959617 1.02840706824 10
-1.28164400982 1.71521551222 5
-1.76920593982 2.72712966076 2
-1.50458075065 2.13758698237 3
-1.48832038121 2.10478891177 3
-0.830748972892 1.00206441251 11
