# d=-12 u_star=-98.114729439 m=-1.03363159027 C=1.06839426441
# s  F2_minus_ustar
-0.99 -1.06835240198
-0.98835 -1.066473341
-0.9867 -1.06465356636
-0.98505 -1.06283419807
-0.9834 -1.06101523504
-0.98175 -1.05919667655
-0.9801 -1.05737814155
-0.97845 -1.05555980857
-0.9768 -1.05374190116
-0.97515 -1.05192441847
-0.9735 -1.05010735957
-0.97185 -1.04829072369
-0.9702 -1.04647451028
-0.96855 -1.04465871814
-0.9669 -1.0428433467
-0.96525 -1.0410283952
-0.9636 -1.03924539383
-0.96195 -1.03741546645
-0.9603 -1.0355859289
-0.95865 -1.03375678068
-0.957 -1.03192802084
-0.95535 -1.03009964873
-0.9537 -1.02827166355
-0.95205 -1.02644406456
-0.9504 -1.02461685099
-0.94875 -1.02279002188
-0.9471 -1.02096357678
-0.94545 -1.0191375148
-0.9438 -1.01731183504
-0.94215 -1.01548941441
-0.9405 -1.01366339392
-0.93885 -1.01183765265
-0.9372 -1.01001228502
-0.93555 -1.00818731269
-0.9339 -1.0063627352
-0.93225 -1.00453855182
-0.9306 -1.00271476201
-0.92895 -1.00089136517
-0.9273 -0.999068324579
-0.92565 -0.997245576025
-0.924 -0.995423233987
-0.92235 -0.993601297795
-0.9207 -0.991779766938
-0.91905 -0.989958640872
-0.9174 -0.988137918959
-0.91575 -0.986317600759
-0.9141 -0.984497685609
-0.91245 -0.98267817303
-0.9108 -0.980859056975
-0.90915 -0.979040337888
-0.9075 -0.977222022573
-0.90585 -0.975404110514
-0.9042 -0.973586600967
-0.90255 -0.971769493628
-0.9009 -0.9699527878
-0.89925 -0.968136482937
-0.8976 -0.966320578499
-0.89595 -0.964505073956
-0.8943 -0.96268996879
-0.89265 -0.960875262393
-0.891 -0.9590609542
-0.88935 -0.957247043815
-0.8877 -0.955433530425
-0.88605 -0.953620413635
-0.8844 -0.951807693
-0.88275 -0.949995367708
-0.8811 -0.948183437533
-0.87945 -0.946371901605
-0.8778 -0.944560759552
-0.87615 -0.94275001081
-0.8745 -0.940939601179
-0.87285 -0.939129572954
-0.8712 -0.937319933743
-0.86955 -0.935510682871
-0.8679 -0.933701819265
-0.86625 -0.931893343183
-0.8646 -0.930056109064
-0.86295 -0.928246264472
-0.8613 -0.926436769218
-0.85965 -0.924627622896
-0.858 -0.922818824342
-0.85635 -0.921010373638
-0.8547 -0.919202269851
-0.85305 -0.917299146279
-0.8514 -0.915490664356
-0.84975 -0.913682532472
-0.8481 -0.911874750106
-0.84645 -0.910067316374
-0.8448 -0.908260912759
-0.84315 -0.906463746348
-0.8415 -0.904666949856
-0.83985 -0.902829138852
-0.8382 -0.901029980358
-0.83655 -0.899231171915
-0.8349 -0.897432711229
-0.83325 -0.895634598837
-0.8316 -0.893836833554
-0.82995 -0.892039415321
-0.8283 -0.890242342424
-0.82665 -0.888445615777
-0.825 -0.886728767775
-0.82335 -0.884931483756
-0.8217 -0.883134545987
-0.82005 -0.881337954066
-0.8184 -0.879541707511
-0.81675 -0.877745805694
-0.8151 -0.875950248103
-0.81345 -0.874155034227
-0.8118 -0.872360163765
-0.81015 -0.870565635713
-0.8085 -0.868771449946
-0.80685 -0.866977605785
-0.8052 -0.86518410281
-0.80355 -0.863390940248
-0.8019 -0.861598117788
-0.80025 -0.859805634777
-0.7986 -0.858013490918
-0.79695 -0.856221773068
-0.7953 -0.854430584969
-0.79365 -0.852639747435
-0.792 -0.850849260165
-0.79035 -0.849047912881
-0.7887 -0.847243347509
-0.78705 -0.84543910479
-0.7854 -0.843635183968
-0.78375 -0.841831584642
-0.7821 -0.840028306277
-0.78045 -0.838225348472
-0.7788 -0.836422710484
-0.77715 -0.834620393974
-0.7755 -0.832818404732
-0.77385 -0.83101673353
-0.7722 -0.829215332096
-0.77055 -0.827414149417
-0.7689 -0.82561329214
-0.76725 -0.823812759895
-0.7656 -0.822012552179
-0.76395 -0.82021266856
-0.7623 -0.818413108452
-0.76065 -0.816613871524
-0.759 -0.814814957068
-0.75735 -0.813016364795
-0.7557 -0.811218094175
-0.75405 -0.809420144728
-0.7524 -0.807622515806
-0.75075 -0.805825207276
-0.7491 -0.804028218311
-0.74745 -0.802231548544
-0.7458 -0.800434879492
-0.74415 -0.798638763727
-0.7425 -0.79684297422
-0.74085 -0.795047510695
-0.7392 -0.793252372544
-0.73755 -0.791457559629
-0.7359 -0.789663067484
-0.73425 -0.78786889204
-0.7326 -0.786075042891
-0.73095 -0.784281519828
-0.7293 -0.782488322153
-0.72765 -0.780695449722
-0.726 -0.778902901853
-0.72435 -0.777110678395
-0.7227 -0.775318778818
-0.72105 -0.77352720266
-0.7194 -0.771735949615
-0.71775 -0.769945019183
-0.7161 -0.768137516887
-0.71445 -0.766348073075
-0.7128 -0.76455895591
-0.71115 -0.762770165038
-0.7095 -0.760981699998
-0.70785 -0.759193560542
-0.7062 -0.757417486937
-0.70455 -0.755622358501
-0.7029 -0.753832438643
-0.70125 -0.752042816042
-0.6996 -0.750253490304
-0.69795 -0.748464461043
-0.6963 -0.74667572786
-0.69465 -0.744887290372
-0.693 -0.743099148215
-0.69135 -0.741311300962
-0.6897 -0.739523748243
-0.68805 -0.737736489698
-0.6864 -0.735949524878
-0.68475 -0.734162853506
-0.6831 -0.732376475072
-0.68145 -0.73059038925
-0.6798 -0.728804595649
-0.67815 -0.727019093869
-0.6765 -0.725233883589
-0.67485 -0.72344896438
-0.6732 -0.721664335752
-0.67155 -0.719880100244
-0.6699 -0.718096181739
-0.66825 -0.716312565984
-0.6666 -0.71452925265
-0.66495 -0.712746241405
-0.6633 -0.710963531835
-0.66165 -0.709181123687
-0.66 -0.707399016534
-0.65835 -0.705617210039
-0.6567 -0.703835703888
-0.65505 -0.702054497806
-0.6534 -0.700273591225
