# d=-12.2 u_star=-98.0121900131 m=-1.06901579073 C=1.14279476084
# s  F2_minus_ustar
-1.26555 -1.46531345173
-1.2639 -1.46330455067
-1.26225 -1.46129647583
-1.2606 -1.4592892269
-1.25895 -1.45728280461
-1.2573 -1.45527720865
-1.25565 -1.45327243935
-1.254 -1.45126849733
-1.25235 -1.4492653823
-1.2507 -1.44726309488
-1.24905 -1.44526191797
-1.2474 -1.44327008643
-1.24575 -1.44126227131
-1.2441 -1.43923354657
-1.24245 -1.43724527598
-1.2408 -1.43525779852
-1.23915 -1.43327111401
-1.2375 -1.43128522255
-1.23585 -1.4292986294
-1.2342 -1.42729442632
-1.23255 -1.42529094678
-1.2309 -1.42328819012
-1.22925 -1.42122796248
-1.2276 -1.41921442076
-1.22595 -1.41720156977
-1.2243 -1.41519593619
-1.22265 -1.41319807997
-1.221 -1.41120096184
-1.21935 -1.4092045823
-1.2177 -1.40729559903
-1.21605 -1.40529882809
-1.2144 -1.40330279643
-1.21275 -1.40130750436
-1.2111 -1.39935022496
-1.20945 -1.39735462402
-1.2078 -1.39535969917
-1.20615 -1.3933653033
-1.2045 -1.39137152134
-1.20285 -1.3893784413
-1.2012 -1.3873860637
-1.19955 -1.38539438879
-1.1979 -1.38340338552
-1.19625 -1.38141301419
-1.1946 -1.37942336529
-1.19295 -1.3774344391
-1.1913 -1.37544623614
-1.18965 -1.37345876612
-1.188 -1.37147202947
-1.18635 -1.36948601319
-1.1847 -1.36752740055
-1.18305 -1.36554094914
-1.1814 -1.36355533488
-1.17975 -1.36157038541
-1.1781 -1.35958596455
-1.17645 -1.35760207273
-1.1748 -1.35561871035
-1.17315 -1.3536358778
-1.1715 -1.35165357546
-1.16985 -1.34967180627
-1.1682 -1.34769060478
-1.16655 -1.34570996495
-1.1649 -1.34372988712
-1.16325 -1.3417503716
-1.1616 -1.33977141871
-1.15995 -1.33779302873
-1.1583 -1.33581520197
-1.15665 -1.33383793869
-1.155 -1.33186123917
-1.15335 -1.32988510361
-1.1517 -1.32790953225
-1.15005 -1.32593452539
-1.1484 -1.32396008313
-1.14675 -1.32198620571
-1.1451 -1.32001289341
-1.14345 -1.31804014619
-1.1418 -1.31606796453
-1.14015 -1.31409634834
-1.1385 -1.31212529792
-1.13685 -1.31015481344
-1.1352 -1.308184895
-1.13355 -1.30621540262
-1.1319 -1.30424532262
-1.13025 -1.30227571754
-1.1286 -1.30030658663
-1.12695 -1.29833792902
-1.1253 -1.29636974429
-1.12365 -1.29440203141
-1.122 -1.29243478956
-1.12035 -1.29046801667
-1.1187 -1.28850165008
-1.11705 -1.28647483055
-1.1154 -1.28450723206
-1.11375 -1.28254006188
-1.1121 -1.2805733186
-1.11045 -1.27860700161
-1.1088 -1.27664110943
-1.10715 -1.27467564113
-1.1055 -1.27271059579
-1.10385 -1.27066746203
-1.1022 -1.26870181552
-1.10055 -1.26673659237
-1.0989 -1.26477179182
-1.09725 -1.26280741266
-1.0956 -1.26084345433
-1.09395 -1.25887991554
-1.0923 -1.25691697534
-1.09065 -1.25495455492
-1.089 -1.25299187406
-1.08735 -1.2510175039
-1.0857 -1.2490435114
-1.08405 -1.24706989584
-1.0824 -1.24510674157
-1.08075 -1.24314337023
-1.0791 -1.241182938
-1.07745 -1.23922294245
-1.0758 -1.23729430024
-1.07415 -1.23534619849
-1.0725 -1.23339856168
-1.07085 -1.23144891539
-1.0692 -1.22949023412
-1.06755 -1.22753195739
-1.0659 -1.22557408497
-1.06425 -1.22361661601
-1.0626 -1.22165955028
-1.06095 -1.21970288583
-1.0593 -1.21774662289
-1.05765 -1.21579076061
-1.056 -1.2138352983
-1.05435 -1.21188032393
-1.0527 -1.2099263671
-1.05105 -1.20797277672
-1.0494 -1.20601955236
-1.04775 -1.20406669248
-1.0461 -1.20211419614
-1.04445 -1.20016206215
-1.0428 -1.19821028936
